Bracket size,Precio bruto ANAC bracket,Demanda Anual 2026
"2,5MM","$30-$32,5MM",258
"2,5MM","$32,5-$35MM",514
"2,5MM","$35-$37,5MM",11
"2,5MM","$37,5-$40MM",221
"2,5MM","$40-$42,5MM",98
"2,5MM","$42,5-$45MM",271
"2,5MM","$45-$47,5MM",158
"2,5MM","$47,5-$50MM",116
"2,5MM","$50-$52,5MM",6
"2,5MM","$52,5-$55MM",78
"2,5MM","$55-$57,5MM",80
"2,5MM","$57,5-$60MM",114
"2,5MM","$60-$62,5MM",23
"2,5MM","$62,5-$65MM",9
"2,5MM","$65-$67,5MM",22
"2,5MM","$67,5-$70MM",41
"2,5MM","$70-$72,5MM",41
"2,5MM","$72,5-$75MM",55
5MM,$30-$35MM,772
5MM,$35-$40MM,232
5MM,$40-$45MM,369
5MM,$45-$50MM,274
5MM,$50-$55MM,84
5MM,$55-$60MM,194
5MM,$60-$65MM,32
5MM,$65-$70MM,63
5MM,$70-$75MM,96
